Wikipedia article ID,Book title,Author,Publication date,GenreId,genres
1247287,The Fabric of the Cosmos,Brian Greene,2004,['/m/05h83'],['Non-fiction']
1248081,A Million Open Doors,John Barnes,1992,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
1249326,Letters on the English,Voltaire,,['/m/02t97'],['Essay']
1250458,James Bond: The Authorised Biography of 007,John Pearson,1973,['/m/06wkf'],['Spy fiction']
1250878,Colonel Sun,Kingsley Amis,1968-03,"['/m/02n4kr', '/m/06wkf', '/m/02xlf', '/m/0c3351']","['Mystery', 'Spy fiction', 'Fiction', 'Suspense']"
1251460,Phantastes,George MacDonald,,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1252295,The Unknown Shore,Donald Malcolm,1959,"['/m/014dfn', '/m/02xlf', '/m/0hwxm']","['Speculative fiction', 'Fiction', 'Historical novel']"
1252909,The Simultaneous Man,,,"['/m/06n90', '/m/026ny']","['Science Fiction', 'Dystopia']"
1253200,The Grandmother,,,,
1254019,"Rich Man, Poor Man",Irwin Shaw,,['/m/05hgj'],['Novel']
1254671,Dinosaur Planet,Anne McCaffrey,1978,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/05hgj']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Novel']"
1256038,The Night Land,William Hope Hodgson,1912,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf', '/m/01gw42']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Scientific romance']"
1256444,Coyote,Allen Steele,,['/m/06n90'],['Science Fiction']
1257960,State of Fear,Michael Crichton,2004-12-07,"['/m/06n90', '/m/017rf8', '/m/0c082', '/m/02xlf']","['Science Fiction', 'Techno-thriller', 'Utopian and dystopian fiction', 'Fiction']"
1258951,Rushing to Paradise,J. G. Ballard,1994,"['/m/014dfn', '/m/01hmnh', '/m/02xlf', '/m/05hgj']","['Speculative fiction', 'Fantasy', 'Fiction', 'Novel']"
1259054,Blood of Elves,Andrzej Sapkowski,1994,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1259759,Rebecca,Daphne du Maurier,1938,"['/m/039vk', '/m/02n4kr', '/m/0lsxr', '/m/01qxvh']","['Gothic fiction', 'Mystery', 'Crime Fiction', 'Romance novel']"
1260753,Everyone Poops,Taro Gomi,1993,['/m/0dwly'],"[""Children's literature""]"
1260937,The Dancing Girl of Izu,Yasunari Kawabata,1926,,
1261005,"Drawing Down the Moon: Witches, Druids, Goddess-Worshippers, and Other Pagans in America Today",Margot Adler,1979,,
1261289,Religion Explained,Pascal Boyer,2001,"['/m/05qfh', '/m/06mq7']","['Psychology', 'Science']"
1261783,Stone of Farewell,Tad Williams,1990-08,"['/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Speculative fiction', 'Fantasy', 'Fiction']"
1261812,To Green Angel Tower,Tad Williams,1993-03,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1263166,The Diamond Smugglers,Ian Fleming,1957,['/m/05h83'],['Non-fiction']
1264281,The Clerk's Prologue and Tale,Geoffrey Chaucer,,['/m/0c5jx'],['Morality play']
1264662,Daisy Miller,Henry James,,['/m/0l67h'],['Novella']
1265248,Ada or Ardor: A Family Chronicle,Vladimir Vladimirovich Nabokov,,"['/m/0mz2', '/m/06n90', '/m/014dfn']","['Alternate history', 'Science Fiction', 'Speculative fiction']"
1265587,Idlewild,Nick Sagan,2003,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
1265938,Beautiful Losers,Leonard Cohen,1966,['/m/02xlf'],['Fiction']
1265955,No Crystal Stair,Mairuth Sarsfield,,['/m/02xlf'],['Fiction']
1266281,1975 in Prophecy!,,,,
1268710,Sula,Toni Morrison,1973-11,"['/m/0dwly', '/m/02xlf', '/m/05hgj']","[""Children's literature"", 'Fiction', 'Novel']"
1268726,Beloved,Toni Morrison,1987-01,"['/m/05hgj', '/m/0dwly', '/m/02p0szs', '/m/014dfn', '/m/02xlf']","['Novel', ""Children's literature"", 'Historical fiction', 'Speculative fiction', 'Fiction']"
1270777,The Peace War,Vernor Vinge,1984,"['/m/06n90', '/m/014dfn', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Novel']"
1270905,Marooned in Realtime,Vernor Vinge,1986,"['/m/06n90', '/m/014dfn', '/m/028v3', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Detective fiction', 'Fiction']"
1273337,Haroun and the Sea of Stories,Salman Rushdie,1990-09-27,"['/m/014dfn', '/m/02xlf', '/m/0127jb', '/m/05hgj']","['Speculative fiction', 'Fiction', 'Magic realism', 'Novel']"
1273623,Ill Met by Moonlight,W. Stanley Moss,1950,['/m/098tmk'],['War novel']
1274221,Licence Renewed,John Gardner,1981,['/m/06wkf'],['Spy fiction']
1274228,Une histoire américaine,,,,
1274361,For Special Services,John Gardner,1982-09,['/m/06wkf'],['Spy fiction']
1274977,Carl's Afternoon in the Park,,,,
1275389,Icebreaker,John Gardner,1983-07-07,['/m/06wkf'],['Spy fiction']
1275421,Role of Honour,John Gardner,1984,['/m/06wkf'],['Spy fiction']
1275458,Nobody Lives For Ever,John Gardner,1986-06-26,['/m/06wkf'],['Spy fiction']
1275522,"No Deals, Mr. Bond",John Gardner,1987-05-21,['/m/06wkf'],['Spy fiction']
1276307,Voyage of the Damned,Gordon Thomas,,,
1277224,"Win, Lose or Die",John Gardner,1989,['/m/06wkf'],['Spy fiction']
1277241,Brokenclaw,John Gardner,1990-07,['/m/06wkf'],['Spy fiction']
1277265,The Man from Barbarossa,John Gardner,1991,['/m/06wkf'],['Spy fiction']
1277287,Death is Forever,John Gardner,1992,['/m/06wkf'],['Spy fiction']
1277302,Never Send Flowers,John Gardner,1993-07-15,['/m/06wkf'],['Spy fiction']
1277351,SeaFire,John Gardner,1994-08,['/m/06wkf'],['Spy fiction']
1277425,COLD,John Gardner,1996-05-02,['/m/06wkf'],['Spy fiction']
1277477,The Facts of Death,Raymond Benson,,"['/m/06wkf', '/m/02xlf']","['Spy fiction', 'Fiction']"
1277518,High Time to Kill,Raymond Benson,1999-05-06,"['/m/02n4kr', '/m/06wkf', '/m/02xlf', '/m/0c3351']","['Mystery', 'Spy fiction', 'Fiction', 'Suspense']"
1277536,Doubleshot,Raymond Benson,2000-05-04,"['/m/06wkf', '/m/02xlf', '/m/0c3351']","['Spy fiction', 'Fiction', 'Suspense']"
1277548,Never Dream of Dying,Raymond Benson,2001,"['/m/06wkf', '/m/02xlf']","['Spy fiction', 'Fiction']"
1277590,The Man with the Red Tattoo,Raymond Benson,2002-05-02,['/m/06wkf'],['Spy fiction']
1277594,Facundo,Domingo Faustino Sarmiento,1845,,
1278604,The Silencers,Donald Hamilton,1962,"['/m/06wkf', '/m/05hgj']","['Spy fiction', 'Novel']"
1278608,The Ambushers,Donald Hamilton,1963,['/m/06wkf'],['Spy fiction']
1278612,Crusade in Jeans,Thea Beckman,1973,"['/m/03g3w', '/m/0dwly', '/m/01hmnh', '/m/05hgj', '/m/0mz2']","['History', ""Children's literature"", 'Fantasy', 'Novel', 'Alternate history']"
1278855,Smilla's Sense of Snow,Peter Høeg,1992,"['/m/0lsxr', '/m/014dfn']","['Crime Fiction', 'Speculative fiction']"
1281035,A View from the Bridge,Arthur Miller,,,
1281172,Quiet as a Nun,,,"['/m/01jfsb', '/m/0lsxr']","['Thriller', 'Crime Fiction']"
1282407,The Chimes,Charles Dickens,1844,['/m/0l67h'],['Novella']
1282425,The Cricket on the Hearth,Charles Dickens,1845,['/m/0l67h'],['Novella']
1282996,A is for Alibi,Sue Grafton,1982-04-15,"['/m/02n4kr', '/m/014dfn', '/m/02xlf', '/m/0c3351']","['Mystery', 'Speculative fiction', 'Fiction', 'Suspense']"
1284781,Phaedo,Plato,,,
1284890,Michael Strogoff,Jules Verne,1876,"['/m/0dwly', '/m/05hgj', '/m/08sdrw', '/m/014dfn', '/m/02xlf', '/m/02p0szs']","[""Children's literature"", 'Novel', 'Adventure novel', 'Speculative fiction', 'Fiction', 'Historical fiction']"
1285975,Thérèse Raquin,Émile Zola,1867,"['/m/05qfh', '/m/059r08']","['Psychology', 'Psychological novel']"
1285998,Les Rois Maudits,,,,
1286615,Kaleidoscope Century,John Barnes,,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
1287642,Persian Letters,"Charles de Secondat, baron de Montesquieu",1721,,
1290331,Bonjour Tristesse,Françoise Sagan,1954,['/m/05hgj'],['Novel']
1291008,Return to Peyton Place,Grace Metalious,1959,['/m/02xlf'],['Fiction']
1292785,Eastern Standard Tribe,Cory Doctorow,2004-03-01,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
1296027,The Gold Bug Variations,Richard Powers,1991-08-01,"['/m/014dfn', '/m/02xlf', '/m/05hgj']","['Speculative fiction', 'Fiction', 'Novel']"
1297091,The Golem,Gustav Meyrink,1914,,
1297582,Storm of Steel,Ernst Jünger,1920,['/m/016chh'],['Memoir']
1298672,Timeline,Michael Crichton,1999-11,"['/m/06n90', '/m/02xlf', '/m/0c3351']","['Science Fiction', 'Fiction', 'Suspense']"
1298894,Time in Advance,William Tenn,1958-06,['/m/06n90'],['Science Fiction']
1299648,Danse Macabre,Stephen King,,"['/m/03npn', '/m/05h83']","['Horror', 'Non-fiction']"
1299906,Practical Demonkeeping,Christopher Moore,,"['/m/014dfn', '/m/02xlf', '/m/0246p', '/m/0pym5', '/m/09kqc']","['Speculative fiction', 'Fiction', 'Comic fantasy', 'Absurdist fiction', 'Humour']"
1300615,The Return of the Condor Heroes,Louis Cha,1959-05-20,"['/m/08322', '/m/01qxvh']","['Wuxia', 'Romance novel']"
1301931,Where the Red Fern Grows,Wilson Rawls,,"['/m/0dwly', '/m/02xlf']","[""Children's literature"", 'Fiction']"
1302095,"Metamora; or, The Last of the Wampanoags",John Augustus Stone,,,
1302957,The Sovereign State of ITT,,,,
1303478,Tortilla Flat,John Steinbeck,1935,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
1303579,Un dimanche à la piscine à Kigali,Gil Courtemanche,,,
1303647,Celebrated Cases of Judge Dee,,,"['/m/02n4kr', '/m/028v3']","['Mystery', 'Detective fiction']"
1304129,Destination Moon,Hergé,1953,,
1308195,Racists,Kunal Basu,,['/m/02xlf'],['Fiction']
1308847,Ghostwritten,David Mitchell,1999-08-19,['/m/05hgj'],['Novel']
1312503,Endymion,"Benjamin Disraeli, 1st Earl of Beaconsfield",1880,['/m/05hgj'],['Novel']
1313113,Puerto Vallarta Squeeze,Robert James Waller,,['/m/02xlf'],['Fiction']
1313175,Mary Barton,Elizabeth Gaskell,1948,"['/m/02n4kr', '/m/0blvpd', '/m/02xlf']","['Mystery', 'Industrial novel', 'Fiction']"
1313643,"Love in Excess; Or, The Fatal Enquiry",Eliza Haywood,,,
1317181,The Gift,Vladimir Vladimirovich Nabokov,,,
1318458,Triss,Brian Jacques,2002,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
1319279,Watch Your Mouth,Daniel Handler,2000-07,"['/m/01z4y', '/m/05hgj']","['Comedy', 'Novel']"
1319463,Blinded by the Right,David Brock,2002,['/m/05h83'],['Non-fiction']
1319473,The Republican Noise Machine,David Brock,2004-05-18,,
1323179,Prochain épisode,Hubert Aquin,,,
1323542,Visa for Avalon,Bryher,,,
1325312,Something Wicked This Way Comes,Ray Bradbury,,"['/m/01hmnh', '/m/014dfn', '/m/03npn', '/m/070l2']","['Fantasy', 'Speculative fiction', 'Horror', 'Soft science fiction']"
1327856,Century Rain,Alastair Reynolds,2004,"['/m/0mz2', '/m/06n90', '/m/014dfn', '/m/02xlf']","['Alternate history', 'Science Fiction', 'Speculative fiction', 'Fiction']"
1328942,The Way of the Wiseguy,Joseph D. Pistone,,['/m/01pwbn'],['True crime']
1329593,The Eyes of Heisenberg,Frank Herbert,1966,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
1331205,Families and How To Survive Them,John Cleese,,,
1332293,Popcorn,Ben Elton,1996-08-05,"['/m/06nbt', '/m/02xlf', '/m/05hgj']","['Satire', 'Fiction', 'Novel']"
1333969,Doomsday Book,Connie Willis,1992,"['/m/07s2s', '/m/014dfn', '/m/06n90', '/m/05hgj']","['Time travel', 'Speculative fiction', 'Science Fiction', 'Novel']"
1334565,This Sweet Sickness,Patricia Highsmith,1961,"['/m/02n4kr', '/m/05hgj', '/m/02xlf', '/m/0c3351']","['Mystery', 'Novel', 'Fiction', 'Suspense']"
1334787,The Green Brain,Frank Herbert,1966,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
1335198,The Adventures of Peregrine Pickle,Tobias Smollett,1751,"['/m/05hgj', '/m/0g_jj']","['Novel', 'Picaresque novel']"
1335918,True Women,Janice Woods Windle,,,
1336067,Bhowani Junction,John Masters,,,
1337192,Fences,August Wilson,,,
1337680,The Adventure of the Dancing Men,Arthur Conan Doyle,,,
1338017,His Last Bow,Arthur Conan Doyle,,,
1338401,Amazing Rain,,,,
1338606,The Long Ships,Frans Gunnar Bengtsson,,,
1338805,Up at the Villa,W. Somerset Maugham,,['/m/02xlf'],['Fiction']
1339238,The Taggerung,Brian Jacques,2001,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
1339241,Marlfox,Brian Jacques,1998,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
1339254,Mattimeo,Brian Jacques,1989,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
1340015,A Night in the Lonesome October,Roger Zelazny,1993,"['/m/014dfn', '/m/05hgj']","['Speculative fiction', 'Novel']"
1341271,Mao II,Don DeLillo,1991-06-20,"['/m/014dfn', '/m/02xlf', '/m/05hgj']","['Speculative fiction', 'Fiction', 'Novel']"
1342018,Journey's End,R. C. Sherriff,,,
1342669,Green Hills of Africa,Ernest Hemingway,1935,"['/m/014dsx', '/m/017fp', '/m/04z2hx', '/m/05h83', '/m/02xlf', '/m/0xdf']","['Travel', 'Biography', 'Travel literature', 'Non-fiction', 'Fiction', 'Autobiography']"
1343296,Ben-Hur: A Tale of the Christ,Lew Wallace,1880-11-12,"['/m/0hwxm', '/m/0dwly', '/m/02p0szs', '/m/014dfn', '/m/02xlf']","['Historical novel', ""Children's literature"", 'Historical fiction', 'Speculative fiction', 'Fiction']"
1344916,All American Girl,Meg Cabot,2002,"['/m/0dwly', '/m/03mfnf', '/m/02xlf']","[""Children's literature"", 'Young adult literature', 'Fiction']"
1345217,The Great and Secret Show,Clive Barker,1990-01,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1345253,Weaveworld,Clive Barker,1987,"['/m/014dfn', '/m/01hmnh', '/m/04n87l']","['Speculative fiction', 'Fantasy', 'Dark fantasy']"
1346176,Mariel of Redwall,Brian Jacques,1991,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
1349940,"Author, Author",David Lodge,2004-10-07,['/m/02xlf'],['Fiction']
1353004,The Saint in New York,Leslie Charteris,1935,"['/m/02n4kr', '/m/02xlf', '/m/0c3351']","['Mystery', 'Fiction', 'Suspense']"
1354207,Balzac and the Little Chinese Seamstress,Dai Sijie,2000,"['/m/012jgz', '/m/0hwxm']","['Autobiographical novel', 'Historical novel']"
1356129,The Pearls of Lutra,Brian Jacques,1996,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
1356238,Laws,Plato,,['/m/037mh8'],['Philosophy']
1358189,The Vampyre,John Polidori,1819-04-01,"['/m/02n4kr', '/m/03npn', '/m/02xlf', '/m/0c3351']","['Mystery', 'Horror', 'Fiction', 'Suspense']"
1360631,The Figure in the Carpet,Henry James,,,
1360990,Boy in Darkness,Mervyn Peake,1956,"['/m/014dfn', '/m/03npn']","['Speculative fiction', 'Horror']"
1362176,Brimstone,Douglas Preston,2004,"['/m/01jfsb', '/m/0lsxr', '/m/017rf8', '/m/014dfn', '/m/02n4kr', '/m/0c3351']","['Thriller', 'Crime Fiction', 'Techno-thriller', 'Speculative fiction', 'Mystery', 'Suspense']"
1362438,Affirmative Action Around the World,Thomas Sowell,2004,['/m/02j62'],['Economics']
1362842,Ellen Foster,Kaye Gibbons,,"['/m/017fp', '/m/02xlf', '/m/05hgj']","['Biography', 'Fiction', 'Novel']"
1363276,Gormenghast,Mervyn Peake,1950,"['/m/039vk', '/m/057pyk', '/m/014dfn', '/m/01hmnh']","['Gothic fiction', 'Fantasy of manners', 'Speculative fiction', 'Fantasy']"
1363312,Titus Alone,Mervyn Peake,1959,"['/m/039vk', '/m/014dfn', '/m/01hmnh']","['Gothic fiction', 'Speculative fiction', 'Fantasy']"
1363774,The Folding Star,Alan Hollinghurst,1994,['/m/05hgj'],['Novel']
1363780,The Swimming Pool Library,Alan Hollinghurst,1988-08-12,['/m/02xlf'],['Fiction']
1364178,A Tree Grows In Brooklyn,Betty Smith,1943,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
1364241,Beau Geste,P. C. Wren,1924,"['/m/01j6zc', '/m/08sdrw']","['Foreign legion', 'Adventure novel']"
1364438,Das siebte Kreuz,Anna Seghers,1942-09,,
1365332,The Mysteries of Pittsburgh,Michael Chabon,1988-04,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
1365414,The Big Sky,"Alfred Bertram Guthrie, Jr.",1947,['/m/025txgl'],['Western fiction']
1365983,The Reivers,William Faulkner,1962,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
1367306,The Way We Live Now,Anthony Trollope,1875,"['/m/02x35fs', '/m/06nbt', '/m/02xlf', '/m/03nhxh']","['Serial', 'Satire', 'Fiction', 'Social commentary']"
1367473,The Box of Delights,John Masefield,1935,"['/m/0dwly', '/m/01hmnh', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Fiction']"
1367900,Backwards,Rob Grant,1996-02-05,"['/m/06n90', '/m/014dfn', '/m/01z4y']","['Science Fiction', 'Speculative fiction', 'Comedy']"
1369584,Orange Crush,Tim Dorsey,2001-07,"['/m/0lsxr', '/m/02n4kr', '/m/02xlf', '/m/0c3351']","['Crime Fiction', 'Mystery', 'Fiction', 'Suspense']"
1370269,Mutation,Robin Cook,1990,"['/m/01jfsb', '/m/0dwly', '/m/02xlf', '/m/05hgj']","['Thriller', ""Children's literature"", 'Fiction', 'Novel']"
1370274,Tom Clancy's Splinter Cell,David Michaels,2004-12-07,['/m/06wkf'],['Spy fiction']
1371002,Saint Overboard,Leslie Charteris,1936,"['/m/02n4kr', '/m/05hgj', '/m/02xlf', '/m/0c3351']","['Mystery', 'Novel', 'Fiction', 'Suspense']"
1371465,In the Light of Truth: The Grail Message,,,,
1372675,On Basilisk Station,David Weber,1993,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1372721,Honor Among Enemies,David Weber,1996,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1372752,The Short Victorious War,David Weber,1994,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1372781,Flag in Exile,David Weber,1995,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1372993,Cat's Eye,Margaret Atwood,1988-09,"['/m/014dfn', '/m/04fqp', '/m/05hgj']","['Speculative fiction', 'Künstlerroman', 'Novel']"
1373061,Life in the Iron Mills,Rebecca Harding Davis,,"['/m/02p0szs', '/m/02xlf']","['Historical fiction', 'Fiction']"
1373524,The Honor of the Queen,David Weber,1993,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1374421,Leo Africanus,Amin Maalouf,,['/m/0hwxm'],['Historical novel']
1375456,Field of Dishonor,David Weber,1994-11-24,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1375497,In Enemy Hands,David Weber,1996,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1376628,Blankets,Craig Thompson,2003-07-23,"['/m/016chh', '/m/0py0z']","['Memoir', 'Graphic novel']"
1377168,Neutron Star,Larry Niven,,,
1377365,La Peau de chagrin,Honoré de Balzac,,['/m/01hmnh'],['Fantasy']
1378539,Echoes of Honor,David Weber,1998,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1378579,Ashes of Victory,David Weber,2000,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1378615,War of Honor,David Weber,2002,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1378645,The Cabinet of Curiosities,Lincoln Child,2002,"['/m/01jfsb', '/m/06n90', '/m/014dfn', '/m/02xlf']","['Thriller', 'Science Fiction', 'Speculative fiction', 'Fiction']"
1378709,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,2005,['/m/05h83'],['Non-fiction']
1379135,Ralph 124C 41+,Hugo Gernsback,1911,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
1379620,Amsterdam,Ian McEwan,1998-12-01,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
1379823,The Gilded Age: A Tale of Today,Mark Twain,1873,['/m/05hgj'],['Novel']
1381420,The Legend of the Condor Heroes,Louis Cha,1957,['/m/08322'],['Wuxia']
1383951,Fool's Errand,Robin Hobb,2001,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1384122,Golden Fool,Robin Hobb,,"['/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Speculative fiction', 'Fantasy', 'Fiction']"
1384243,The Friar's Prologue and Tale,Geoffrey Chaucer,,,
1384582,Shaman's Crossing,Robin Hobb,2005,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1384714,Vampire$,John Steakley,1992-05-05,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1384886,The Torrents of Spring,Ernest Hemingway,1926,['/m/02xlf'],['Fiction']
1385435,Friend of My Youth,Alice Munro,,['/m/02xlf'],['Fiction']
1385533,The Song of the Lark,Willa Cather,1915,"['/m/0dwly', '/m/02xlf', '/m/05hgj']","[""Children's literature"", 'Fiction', 'Novel']"
1385548,A Kingdom of Dreams,Judith McNaught,1989-03-01,"['/m/03g3w', '/m/02xlf', '/m/01qxvh', '/m/05hgj']","['History', 'Fiction', 'Romance novel', 'Novel']"
1385549,The Naked Face,Sidney Sheldon,1970,"['/m/01jfsb', '/m/02xlf']","['Thriller', 'Fiction']"
1386077,Fool's Fate,Robin Hobb,2003,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
1386288,Ship of Magic,Robin Hobb,1998-01-09,"['/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Speculative fiction', 'Fantasy', 'Fiction']"
1387588,Salamandastron,Brian Jacques,1992,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
1387687,To Say Nothing of the Dog,Connie Willis,1997,"['/m/06n90', '/m/01z4y', '/m/02xlf']","['Science Fiction', 'Comedy', 'Fiction']"
1388208,The Bean Trees,Barbara Kingsolver,1988,"['/m/014dsx', '/m/0dwly', '/m/02xlf']","['Travel', ""Children's literature"", 'Fiction']"
1390003,Crown of Slaves,Eric Flint,,"['/m/06n90', '/m/014dfn', '/m/06wkf']","['Science Fiction', 'Speculative fiction', 'Spy fiction']"
1390007,The Shadow of Saganami,David Weber,2004-11-01,"['/m/06n90', '/m/014dfn', '/m/01smf2']","['Science Fiction', 'Speculative fiction', 'Military science fiction']"
1390418,Piece of Cake,Derek Robinson,1983,['/m/098tmk'],['War novel']
1392494,Muertos incómodos,Paco Ignacio Taibo II,2004-11,['/m/05hgj'],['Novel']
1392535,"Alice, Girl from the Future",,,"['/m/06n90', '/m/0dwly', '/m/03mfnf']","['Science Fiction', ""Children's literature"", 'Young adult literature']"
1392635,Asterix and the Big Fight,,,,
1393403,Trans-Atlantyk,Witold Gombrowicz,,['/m/05hgj'],['Novel']
1395369,Rim of the Pit,,,['/m/02n4kr'],['Mystery']
1396233,The Mediterranean Caper,Clive Cussler,,"['/m/017rf8', '/m/02xlf', '/m/08sdrw']","['Techno-thriller', 'Fiction', 'Adventure novel']"
1396624,Raft,Stephen Baxter,1991,"['/m/03lrw', '/m/06n90', '/m/014dfn']","['Hard science fiction', 'Science Fiction', 'Speculative fiction']"
1396635,Radio Golf,August Wilson,,,
1396710,Timelike Infinity,Stephen Baxter,1992-12-07,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
1396825,Learning to Sing: Hearing the Music in Your Life,Clay Aiken,2004-11-16,,
1398014,Yak Butter Blues: A Tibetan Trek of Faith,,,,
1398951,The Kite Runner,Khaled Hosseini,2003-05-29,"['/m/02p0szs', '/m/02xlf', '/m/05hgj']","['Historical fiction', 'Fiction', 'Novel']"
1400224,The Sands of Time,Sidney Sheldon,1988,['/m/02xlf'],['Fiction']
1400234,Rage of Angels,Sidney Sheldon,1980,"['/m/01jfsb', '/m/02n4kr', '/m/05hgj', '/m/02xlf', '/m/0c3351']","['Thriller', 'Mystery', 'Novel', 'Fiction', 'Suspense']"
1400457,The Matarese Circle,Robert Ludlum,1979,"['/m/06wkf', '/m/02xlf']","['Spy fiction', 'Fiction']"
1401211,Metahistory,Hayden V. White,1974,,
1401714,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005-01-11,['/m/05h83'],['Non-fiction']
1401871,Pharaoh,Bolesław Prus,,['/m/0hwxm'],['Historical novel']
1402490,Arrival and Departure,Arthur Koestler,,['/m/02xlf'],['Fiction']
1403294,Concluding,Henry Green,1946,['/m/05hgj'],['Novel']
1403779,Household Gods,Judith Tarr,,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
1404640,Camouflage,Joe Haldeman,2004,"['/m/06n90', '/m/014dfn', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Novel']"
1407191,Exit to Eden,Anne Rice,1985-05,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf', '/m/01qxvh']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Romance novel']"
1408168,The Infernal Desire Machines of Doctor Hoffman,Angela Carter,1972,"['/m/014dfn', '/m/02xlf']","['Speculative fiction', 'Fiction']"
1408435,My Ántonia,Willa Cather,1918,['/m/02p0szs'],['Historical fiction']
1409091,Sutherlin Alliance,,,['/m/06n90'],['Science Fiction']
1413283,The First Man in Rome,Colleen McCullough,1990,"['/m/02p0szs', '/m/02xlf']","['Historical fiction', 'Fiction']"
